,Year,Month,Day,Val1,Val2,Phase,Val3,Something
14588,2014,5,10,-0.36425138,-1.3795283999999999,2,1.4268068,Prelim_value:_OLR_&_ACCESS_wind
14589,2014,5,11,0.34613195,-1.3068118999999998,3,1.3518746000000001,Prelim_value:_OLR_&_ACCESS_wind
14590,2014,5,12,0.51693207,-1.3538928999999997,3,1.4492221,Prelim_value:_OLR_&_ACCESS_wind
14591,2014,5,13,0.43106142,-1.0341504000000001,3,1.1203931999999999,Prelim_value:_OLR_&_ACCESS_wind
14592,2014,5,14,0.67835683,-0.94832426,3,1.1659703000000001,Prelim_value:_OLR_&_ACCESS_wind
14593,2014,5,15,0.68843108,-0.71143389,3,0.98998767,Prelim_value:_OLR_&_ACCESS_wind
14594,2014,5,16,0.44165668,-0.65063912,3,0.78637898,Prelim_value:_OLR_&_ACCESS_wind
14595,2014,5,17,0.17975941,-0.60786933,3,0.63389158,Prelim_value:_OLR_&_ACCESS_wind
14596,2014,5,18,0.0538,-0.53577536,3,0.53846818,Prelim_value:_OLR_&_ACCESS_wind
14597,2014,5,19,-0.2998814,-0.43498677,2,0.52833921,Prelim_value:_OLR_&_ACCESS_wind
14598,2014,5,20,-0.52910745,-0.27989385,1,0.59857768,Prelim_value:_OLR_&_ACCESS_wind
14599,2014,5,21,-0.51906997,-0.22498104,1,0.56572974,Prelim_value:_OLR_&_ACCESS_wind
14600,2014,5,22,-0.31976128,-0.38391,2,0.49963406,Prelim_value:_OLR_&_ACCESS_wind
14601,2014,5,23,-0.15572897,-0.44553733,2,0.47196931,Prelim_value:_OLR_&_ACCESS_wind
14602,2014,5,24,-0.36675477,-0.45505479,2,0.58445179,Prelim_value:_OLR_&_ACCESS_wind
14603,2014,5,25,-0.67431456,-0.53778315,1,0.86250263,Prelim_value:_OLR_&_ACCESS_wind
14604,2014,5,26,-0.92579252,-0.65169811,1,1.132167,Prelim_value:_OLR_&_ACCESS_wind
14605,2014,5,27,-0.95573443,-0.96026468,2,1.3548198,Prelim_value:_OLR_&_ACCESS_wind
14606,2014,5,28,-1.0907335,-1.3394492,2,1.7273748,Prelim_value:_OLR_&_ACCESS_wind
14607,2014,5,29,-0.73789638,-1.3819851,2,1.5666441,Prelim_value:_OLR_&_ACCESS_wind
14608,2014,5,30,-0.33715454,-1.3934802,2,1.4336877000000001,Prelim_value:_OLR_&_ACCESS_wind
14609,2014,5,31,-0.28318283,-1.4098661,2,1.4380246,Prelim_value:_OLR_&_ACCESS_wind
14883,2015,3,1,0.30355382,-0.26945812,4,0.40589729,Prelim_value:_OLR_&_ACCESS_wind
14884,2015,3,2,0.7573244,-0.23504621,4,0.79296088,Prelim_value:_OLR_&_ACCESS_wind
14885,2015,3,3,1.0594875,-0.11518863,4,1.0657308,Prelim_value:_OLR_&_ACCESS_wind
14886,2015,3,4,1.2095053,0.00806,5,1.2095323,Prelim_value:_OLR_&_ACCESS_wind
14887,2015,3,5,1.2652456,-0.10041110000000002,4,1.2692237,Prelim_value:_OLR_&_ACCESS_wind
14888,2015,3,6,1.5775226,-0.0117,4,1.5775659,Prelim_value:_OLR_&_ACCESS_wind
14889,2015,3,7,1.8574773999999998,0.18000761,5,1.8661793000000002,Prelim_value:_OLR_&_ACCESS_wind
